SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,NativeRegion,CommonNamesFR,CommonNamesSP,CommonNamesEN,Photos,PhotoReferences,Climbing,Acaulescent,Erect,StemSolitary,StemArmed,LeavesArmed,MaxStemHeight_m,MaxStemDia_cm,UnderstoreyCanopy,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeCategorical,FruitShape,FruitColorDescription,MainFruitColors,"Conspicuousness
"
Eleiodoxa conferta,Eleiodoxa,conferta,Calameae,Calamoideae,"BOR, MLY, SUM, THA",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/1447244/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/1481735/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/25282384/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/60123557/large.jpeg; https://static.inaturalist.org/photos/55416295/large.jpg; https://upload.wikimedia.org/wikipedia/commons/0/04/Eleiodoxa_conferta.jpg; https://upload.wikimedia.org/wikipedia/commons/9/9d/Eleiodoxa_conferta_thai.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ae/Eleiodoxa_conferta_98855897.jpg; https://upload.wikimedia.org/wikipedia/commons/d/df/YosriJerukKelubi.jpg,"(c) loupok, some rights reserved (CC BY-NC-ND) (c) WK Cheng, all rights reserved, uploaded by WK Cheng (c) Bill Baker, some rights reserved (CC BY-NC), uploaded by Bill Baker (c) jcorrie, some rights reserved (CC BY-NC) (c) Ong Jyh Seng, some rights reserved (CC BY-SA), uploaded by Ong Jyh Seng",false,true,false,false,false,true,0,2.5,understorey,8,8,4,1.55,2.5,,,2.5,,,small,ovoid,reddish brown,brown,"cryptic
"
Eremospatha barendii,Eremospatha,barendii,Lepidocaryeae,Calamoideae,CMN,Rotin,Sin nombre común,"Rattan,Rattan Palm",NoImages,NoReferences,true,false,false,false,false,true,30,1.5,canopy,,2.4,1.2,1.25,2.55,2.3,2.8,1.6,1.5,1.7,small,ovoid,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha cabrae,Eremospatha,cabrae,Lepidocaryeae,Calamoideae,"CAB, CAF, CON, GAB, ZAI",Rotin,Sin nombre común,"Rattan,Rattan Palm",https://inaturalist-open-data.s3.amazonaws.com/photos/239052821/large.jpg,"(c) Nick Helme, some rights reserved (CC BY-SA), uploaded by Nick Helme",true,false,false,false,false,true,50,1.5,canopy,,2,1,,2.75,2.5,3,1.75,1.6,1.9,small,globose,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha cuspidata,Eremospatha,cuspidata,Lepidocaryeae,Calamoideae,"ANG, CAF, CMN, CON, EQG, GAB, ZAI, ZAM",Rotin,Sin nombre común,"Rattan,Rattan Palm",https://inaturalist-open-data.s3.amazonaws.com/photos/238632912/large.jpg,"(c) Nick Helme, some rights reserved (CC BY-SA), uploaded by Nick Helme",true,false,false,false,false,true,15,1.5,canopy,,2,1.3,0.75,2.2,2,2.4,1.8,1.6,2,small,globose,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha dransfieldii,Eremospatha,dransfieldii,Lepidocaryeae,Calamoideae,"GHA, IVO, SIE",Rotin,Sin nombre común,Rattan,https://inaturalist-open-data.s3.amazonaws.com/photos/82650960/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/82650957/large.jpeg,"(c) Carel Jongkind, some rights reserved (CC BY-NC), uploaded by Carel Jongkind (c) Carel Jongkind, some rights reserved (CC BY-NC), uploaded by Carel Jongkind",true,false,false,false,false,true,50,2.4,canopy,,3.5,1.5,2.1,,,,,,,,ovoid,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha haullevilleana,Eremospatha,haullevilleana,Lepidocaryeae,Calamoideae,"BUR, CAB, CAF, CMN, CON, GAB, TAN, UGA, ZAI",Rotin,Sin nombre común,"Rattan,Rattan Palm",NoImages,NoReferences,true,false,false,false,false,true,25,70,canopy,,1.2,0.8,0.45,2.75,2.5,3,1.75,1.5,2,small,,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha hookeri,Eremospatha,hookeri,Lepidocaryeae,Calamoideae,"CAF, CMN, CON, EQG, GAB, LBR, NGA",Rotin,Sin nombre común,Rattan,https://upload.wikimedia.org/wikipedia/commons/1/15/Calamus_hookeri-2-chemungi-kerala-India.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7c/Calamus_hookeri-1-chemungi_hill-kerala-India.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ac/Calamus_hookeri-3-chemungi_hill-kerala-India.jpg,NoReferences,true,false,false,false,false,true,30,2,canopy,,1.5,,,2.5,2,2.5,1.7,,,small,globose,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha laurentii,Eremospatha,laurentii,Lepidocaryeae,Calamoideae,"CAF, CMN, CON, EQG, GAB, LBR, NGA, SIE, ZAI",Rotin,Sin nombre común,Rattan Palm,https://inaturalist-open-data.s3.amazonaws.com/photos/161757904/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/161757981/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/161757998/large.jpeg,"(c) Carel Jongkind, some rights reserved (CC BY-NC), uploaded by Carel Jongkind (c) Carel Jongkind, some rights reserved (CC BY-NC), uploaded by Carel Jongkind (c) Carel Jongkind, some rights reserved (CC BY-NC), uploaded by Carel Jongkind",true,false,false,false,false,true,30,2.5,canopy,,1.5,,,1.75,1.5,2,1.5,,,small,ovoid,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha macrocarpa,Eremospatha,macrocarpa,Lepidocaryeae,Calamoideae,"BEN, CAF, CMN, EQG, GHA, GUI, IVO, LBR, NGA, SIE, ZAI",Rotin,Sin nombre común,"large-fruit rattan palm,Rattan rattan palm",https://static.inaturalist.org/photos/62005021/large.jpg,"(c) earthknight, all rights reserved, uploaded by earthknight",true,false,false,false,false,true,75,1.8,canopy,,1.5,,,2.85,2.2,3.5,1.25,1,1.5,small,ovoid,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha quinquecostulata,Eremospatha,quinquecostulata,Lepidocaryeae,Calamoideae,"CMN, NGA",Rotin,Sin nombre común,"Rattan,Rattan Palm",NoImages,NoReferences,true,false,false,false,false,true,15,0.9,canopy,,0.8,0.8,,,,,,,,,,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha tessmanniana,Eremospatha,tessmanniana,Lepidocaryeae,Calamoideae,"CMN, EQG",Rotin,Sin nombre común,"Rattan,Rattan Palm",NoImages,NoReferences,true,false,false,false,false,true,150,1.5,canopy,,0.8,0.8,,,,,,,,,,young fruits pale almost white; turning bright red at maturity; and then brown with age,red; brown,"conspicuous
"
Eremospatha wendlandiana,Eremospatha,wendlandiana,Lepidocaryeae,Calamoideae,"CAB, CAF, CMN, CON, EQG, GAB, NGA, ZAI",Rotin,Sin nombre común,"Rattan,Rattan Palm",https://inaturalist-open-data.s3.amazonaws.com/photos/214312546/large.jpeg,"(c) bureaubenjamin, some rights reserved (CC BY-NC)",true,false,false,false,false,true,60,2,canopy,,2,2,,3,2.5,3.5,2.1,1.8,2.4,small,ovoid,greenish-brown,brown,"cryptic
"
Eugeissona ambigua,Eugeissona,ambigua,Eugeissoneae,Calamoideae,BOR,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,true,false,false,,true,0,,understorey,,,,,,,,,,,,,,,"
"
Eugeissona brachystachys,Eugeissona,brachystachys,Eugeissoneae,Calamoideae,MLY,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,true,false,false,true,true,0,0,understorey,,4,,1.55,5,,,3,,,large,ovoid,brown,brown,"cryptic
"
Eugeissona insignis,Eugeissona,insignis,Eugeissoneae,Calamoideae,BOR,Pas de nom commun,Sin nombre común,No Common Name,NoImages,NoReferences,false,true,false,false,true,true,1.8,,understorey,7,12,,3.45,9,,,5.5,,,large,,brown,brown,"cryptic
"
Eugeissona minor,Eugeissona,minor,Eugeissoneae,Calamoideae,BOR,Pas de nom commun,Sin nombre común,No Common Name,https://static.inaturalist.org/photos/79172058/large.jpg,"(c) Chien Lee, all rights reserved, uploaded by Chien Lee",false,false,true,false,false,true,2,8,understorey,10,5,,2.9,5.5,,,3.3,,,large,globose,dark brown,brown,"cryptic
"
Eugeissona tristis,Eugeissona,tristis,Eugeissoneae,Calamoideae,"MLY, THA",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/180482168/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/200472537/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/72290752/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/91081364/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/91081375/large.jpeg; https://static.inaturalist.org/photos/124400355/large.jpg; https://static.inaturalist.org/photos/187459132/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/9/97/Eugeissona_tristis_%283768545281%29.jpg; https://upload.wikimedia.org/wikipedia/commons/b/be/COLLECTIE_TROPENMUSEUM_Nangkapalmen_%28Eugeissona_spec%29_langs_de_rivier_Tel%C3%A8n_bij_de_Long_Meloe_in_Midden-Oost-Borneo_TMnr_10011253.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f0/Eugeissona_tristis_%28detail%29_%283769362320%29.jpg,"(c) Vatcharavee Sriprasertsil, some rights reserved (CC BY-NC), uploaded by Vatcharavee Sriprasertsil (c) MSOne, some rights reserved (CC BY-NC-ND), uploaded by MSOne (c) syuhada, some rights reserved (CC BY-NC), uploaded by syuhada (c) syuhada, some rights reserved (CC BY-NC), uploaded by syuhada (c) 王錦堯（Ong Jin Yao）, some rights reserved (CC BY-NC), uploaded by 王錦堯（Ong Jin Yao） (c) Prasna Nair, all rights reserved, uploaded by Prasna Nair (c) Tan Kim Hock, all rights reserved, uploaded by Tan Kim Hock",false,true,false,false,false,true,1.5,15,understorey,10,5,5,,8,7,9,4.5,3,6,large,elongate,scales brown,brown,"cryptic
"
Eugeissona utilis,Eugeissona,utilis,Eugeissoneae,Calamoideae,BOR,Pas de nom commun,Sin nombre común,"kadjatoa,wild Bornean sago palm",https://inaturalist-open-data.s3.amazonaws.com/photos/13606570/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/48025442/large.jpg; https://upload.wikimedia.org/wikipedia/commons/0/06/Wild_Hill_Sago_%28Eugeissona_utilis%29_spiny_base_%2815822511702%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a3/Wild_Hill_Sago_%28Eugeissona_utilis%29_spiny_base_%2815635105679%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ab/Eugeissona_utilis_inflo-JB_Bogor_-IMG_1398.jpg; https://upload.wikimedia.org/wikipedia/commons/d/de/Eugeissona_utilis_-JB_Bogor_-_P1000417.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f9/Eugeissona_utilis.jpg,"(c) Shawn O'Donnell, some rights reserved (CC BY), uploaded by Shawn O'Donnell (c) Arief Hamidi, some rights reserved (CC BY-NC), uploaded by Arief Hamidi",false,false,true,false,true,true,8,25,canopy,12,6,6,,7,,,3.5,,,large,,dark green-brown,green; brown,"cryptic
"
Euterpe broadwayi,Euterpe,broadwayi,Euterpeae,Arecoideae,"TRT, WIN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/933310/large.jpg,"(c) Eric Knight, some rights reserved (CC BY)",false,false,true,false,false,false,20,25,canopy,16,4.8,3.6,1.25,1.2,,,1.2,1,1.4,small,,purple-black,purple; black,"cryptic
"
Euterpe catinga,Euterpe,catinga,Euterpeae,Arecoideae,"BZN, CLM, ECU, GUY, PER, VEN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/288731006/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/288730988/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/286688924/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/204752474/large.jpg,"(c) nelson_miranda, some rights reserved (CC BY-NC) (c) nelson_miranda, some rights reserved (CC BY-NC) (c) nelson_miranda, some rights reserved (CC BY-NC) no rights reserved, uploaded by w_endo",false,false,true,false,false,false,20,15,canopy,11,3,2.5,0.55,1.05,0.8,1.3,1.05,0.8,1.3,small,ovoid,purple-black,purple; black,"cryptic
"
Euterpe edulis,Euterpe,edulis,Euterpeae,Arecoideae,"AGE, BZC, BZE, BZL, BZS, PAR",euterpe,coco de palmito,assai palm,https://inaturalist-open-data.s3.amazonaws.com/photos/14200511/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/1477243/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/23736632/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/28567539/large.jpeg; https://static.inaturalist.org/photos/14608495/large.jpeg; https://static.inaturalist.org/photos/25124890/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/00/Euterpe_edulis_Mart._%2821682901210%29.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0a/Euterpe_edulis_Mart._%2821682905780%29.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0f/Euterpe_edulis_Mart._%289523594630%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/12/Euterpe_edulis_Mart._%289125629554%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/19/Euterpe_edulis_Mart._%289123430523%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1c/Euterpe_edulis_Mart._%2821249881783%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1e/Euterpe_edulis_Mart._%2814582090243%29.jpg; https://upload.wikimedia.org/wikipedia/commons/2/2b/Euterpe_edulis_Mart._%2821249883123%29.jpg; https://upload.wikimedia.org/wikipedia/commons/3/32/Orange-shafted_Euterpe_edulis_01.jpg; https://upload.wikimedia.org/wikipedia/commons/3/37/Euterpe_edulis_Mart._%289123430651%29.jpg; https://upload.wikimedia.org/wikipedia/commons/3/39/Floresta_de_palmito_jussara_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/3/3c/Euterpe_edulis_Mart._%2821683116258%29.jpg; https://upload.wikimedia.org/wikipedia/commons/4/40/Euterpe_edulis_Mart._%289123431831%29.jpg; https://upload.wikimedia.org/wikipedia/commons/4/42/Assai-Fr%C3%BCchte1.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4a/Euterpe_edulis_Mart._%289125649860%29.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4f/Assaipalme3.jpg; https://upload.wikimedia.org/wikipedia/commons/4/4f/Euterpe_edulis_Mart._%289125591430%29.jpg; https://upload.wikimedia.org/wikipedia/commons/5/51/Euterpe_edulis_Mart._%2821684080999%29.jpg; https://upload.wikimedia.org/wikipedia/commons/6/66/Palmera_palmito_Parque_nacional_Iguaz%C3%BA.JPG; https://upload.wikimedia.org/wikipedia/commons/7/79/Orange-shafted_Euterpe_edulis_02.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7c/Euterpe_edulis%2C_da_Cole%C3%A7%C3%A3o_Brasiliana_Iconogr%C3%A1fica.jpg; https://upload.wikimedia.org/wikipedia/commons/8/8e/Euterpe_edulis.jpg; https://upload.wikimedia.org/wikipedia/commons/9/91/Euterpe_edulis_Mart._%2821859035662%29.jpg; https://upload.wikimedia.org/wikipedia/commons/9/99/Euterpe_edulis_Mart._%289125661702%29.jpg; https://upload.wikimedia.org/wikipedia/commons/9/9d/Euterpe_edulis_Mart._%289125663398%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a3/Euterpe_edulis_Mart._%289123432027%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/a3/Euterpe_edulis_Mart._%289523594862%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/aa/Euterpe_edulis_Mart._%289520808333%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ab/Euterpe_edulis_Mart._%289125649662%29.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ad/Assai-Fr%C3%BCchte2.jpg; https://upload.wikimedia.org/wikipedia/commons/b/b1/Euterpe_edulis_Mart._%2814561156502%29.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c0/Euterpe_edulis_Mart._%289125648894%29.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c6/Euterpe_edulis_Mart._%289523593998%29.jpg; https://upload.wikimedia.org/wikipedia/commons/c/c8/Euterpe_edulis_Mart._%289125623952%29.jpg; https://upload.wikimedia.org/wikipedia/commons/d/d5/Euterpe_edulis_Mart._%289520809243%29.jpg; https://upload.wikimedia.org/wikipedia/commons/d/da/Floresta_palmito_jussara_-_panoramio.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e1/Euterpe_edulis_Mart._%289523595108%29.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e5/Assaipalme4.jpg; https://upload.wikimedia.org/wikipedia/commons/e/e9/Euterpe_edulis_Mart._%289523595370%29.jpg; https://upload.wikimedia.org/wikipedia/commons/e/ec/Euterpe_edulis_%288459500845%29.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f0/Euterpe_edulis_Mart._%289125668434%29.jpg; https://upload.wikimedia.org/wikipedia/commons/f/ff/Euterpe_edulis_Mart._%2814375405019%29.jpg,"(c) João Medeiros, some rights reserved (CC BY) (c) Liu Idárraga Orozco, some rights reserved (CC BY-NC), uploaded by Liu Idárraga Orozco (c) Bruno Rennó, all rights reserved, uploaded by Bruno Rennó (c) James Dean Leal Rocha, all rights reserved, uploaded by James Dean Leal Rocha (c) João Gava Just, some rights reserved (CC BY-NC), uploaded by João Gava Just (c) Sandra Emilia Chediack, some rights reserved (CC BY-NC-ND), uploaded by Sandra Emilia Chediack",false,false,true,false,false,false,12,15,canopy,15,3.54,3,0.59,1.2,,,1.2,1,1.4,small,,purple-black,purple; black,"cryptic
"
Euterpe longibracteata,Euterpe,longibracteata,Euterpeae,Arecoideae,"BZC, BZN, GUY, VEN",Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/10894881/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10894878/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/10894879/large.jpg,"(c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer (c) Rich Hoyer, some rights reserved (CC BY-NC-SA), uploaded by Rich Hoyer",false,false,true,false,false,false,20,8,canopy,9,3.41,3,0.46,1.1,,,1.1,1,1.2,small,,purple-black,purple; black,"cryptic
"
Euterpe luminosa,Euterpe,luminosa,Euterpeae,Arecoideae,PER,Pas de nom commun,Sin nombre común,No Common Name,https://inaturalist-open-data.s3.amazonaws.com/photos/12145941/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/8/8a/Euterpe_luminosa_%28Scott_Zona%29_001.jpg,"(c) Nate Hartley, some rights reserved (CC BY-NC), uploaded by Nate Hartley",false,false,true,false,false,false,11,7,canopy,12,1.8,1.45,0.4,2,,,1,,,small,globose,black,black,"cryptic
"
Euterpe oleracea,Euterpe,oleracea,Euterpeae,Arecoideae,"BZE, BZN, CLM, ECU, FRG, GUY, SUR, TRT, VEN",assai,"asaí,euterpe manaca,Palmiche","assai palm,Assai palm Assai Palm,cabbage palm euterp-palm,manicola-palm",https://inaturalist-open-data.s3.amazonaws.com/photos/27736915/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/31151239/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/70807797/large.jpeg; https://inaturalist-open-data.s3.amazonaws.com/photos/89453972/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/89453973/large.jpg; https://inaturalist-open-data.s3.amazonaws.com/photos/9794814/large.jpeg; https://static.inaturalist.org/photos/18964445/large.jpeg; https://upload.wikimedia.org/wikipedia/commons/0/08/Asai_Euterpe_oleracea.jpg; https://upload.wikimedia.org/wikipedia/commons/0/09/Acai-DSC_2944.jpg; https://upload.wikimedia.org/wikipedia/commons/0/0c/UM_TUCANO_NO_A%C3%87AIZEIRO_79.JPG; https://upload.wikimedia.org/wikipedia/commons/0/0f/UM_TUCANO_NO_A%C3%87AIZEIRO_37.JPG; https://upload.wikimedia.org/wikipedia/commons/1/11/Arecaceae-_Euterpe_oleracea_%28acai%29.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1d/Acai-DSC_2940.jpg; https://upload.wikimedia.org/wikipedia/commons/1/1d/UM_TUCANO_NO_A%C3%87AIZEIRO_211.JPG; https://upload.wikimedia.org/wikipedia/commons/2/28/Fruto_do_a%C3%A7a%C3%AD.jpg; https://upload.wikimedia.org/wikipedia/commons/2/2a/UM_TUCANO_NO_A%C3%87AIZEIRO_92.JPG; https://upload.wikimedia.org/wikipedia/commons/4/48/UM_TUCANO_NO_A%C3%87AIZEIRO_46.JPG; https://upload.wikimedia.org/wikipedia/commons/5/54/Euterpe_oleracea_MHNT.BOT.2008.1.39.jpg; https://upload.wikimedia.org/wikipedia/commons/5/55/UM_TUCANO_NO_A%C3%87AIZEIRO_232.JPG; https://upload.wikimedia.org/wikipedia/commons/5/57/UM_TUCANO_NO_A%C3%87AIZEIRO_67.JPG; https://upload.wikimedia.org/wikipedia/commons/5/59/UM_TUCANO_NO_A%C3%87AIZEIRO_277.JPG; https://upload.wikimedia.org/wikipedia/commons/5/5e/A%C3%A7a%C3%AD_debulhado.jpg; https://upload.wikimedia.org/wikipedia/commons/6/60/Euterpe_oleracea_%28assai%29_marjad_1.jpg; https://upload.wikimedia.org/wikipedia/commons/6/62/Graphe_analyse_statistique_multivari%C3%A9e11.jpg; https://upload.wikimedia.org/wikipedia/commons/6/65/Huasa%C3%AD_en_la_comunidad_Nativa_Llucanayacu%2C_distrito_de_Chazuta.jpg; https://upload.wikimedia.org/wikipedia/commons/6/67/%28Euterpe_oleracea%2C_Mart.%29.%2C_da_Cole%C3%A7%C3%A3o_Brasiliana_Iconogr%C3%A1fica.jpg; https://upload.wikimedia.org/wikipedia/commons/6/6c/UM_TUCANO_NO_A%C3%87AIZEIRO_137.JPG; https://upload.wikimedia.org/wikipedia/commons/7/71/A%C3%A7aizeiro_no_pal%C3%A1cio.JPG; https://upload.wikimedia.org/wikipedia/commons/7/73/Cueilleur_d%27a%C3%A7ai_encre.jpg; https://upload.wikimedia.org/wikipedia/commons/7/76/Acai-DSC_2933.jpg; https://upload.wikimedia.org/wikipedia/commons/7/76/Dossel_de_um_a%C3%A7aizal.jpg; https://upload.wikimedia.org/wikipedia/commons/7/7f/Naturalist_on_the_River_Amazons_figure_7.png; https://upload.wikimedia.org/wikipedia/commons/8/83/Pneumatophores_E._oleracea.jpg; https://upload.wikimedia.org/wikipedia/commons/8/87/Euterpe_oleracea_%28assai%29_marjad_3.jpg; https://upload.wikimedia.org/wikipedia/commons/8/88/UM_TUCANO_NO_A%C3%87AIZEIRO_56.JPG; https://upload.wikimedia.org/wikipedia/commons/8/8c/Euterpe_oleracea_%2829575745576%29.jpg; https://upload.wikimedia.org/wikipedia/commons/9/91/Touffe_d_Euterpe_oleracea_Eric.jpg; https://upload.wikimedia.org/wikipedia/commons/9/94/PSM_V60_D410_The_assai_palm_euterpe_oleracea.png; https://upload.wikimedia.org/wikipedia/commons/9/95/Euterpe_oleracea_%28A%C3%A7a%C3%AD%29-_Reserva_de_Desenvolvimento_Sustent%C3%A1vel_de_Rio_Negro_%28Acajatuba%29_-_Eric_Bem_dos_Santos_%E2%80%93_2023.jpg; https://upload.wikimedia.org/wikipedia/commons/9/9b/Seivadea%C3%A7aizeiro.jpg; https://upload.wikimedia.org/wikipedia/commons/a/ad/A%C3%A7a%C3%AD.jpg; https://upload.wikimedia.org/wikipedia/commons/a/af/Acai3.jpg; https://upload.wikimedia.org/wikipedia/commons/b/b0/UM_TUCANO_NO_A%C3%87AIZEIRO_254.JPG; https://upload.wikimedia.org/wikipedia/commons/b/b4/Owoce_Acai.jpg; https://upload.wikimedia.org/wikipedia/commons/b/bd/Euterpe_SaoDomingos.JPG; https://upload.wikimedia.org/wikipedia/commons/c/c7/Euterpe_oleracea_%28A%C3%A7a%C3%AD%29-_Reserva_de_Desenvolvimento_Sustent%C3%A1vel_de_Rio_Negro_%28Lago_do_Acajatuba%29_-_Eric_Bem_dos_Santos_%E2%80%93_2023.jpg; https://upload.wikimedia.org/wikipedia/commons/c/cd/Euterpe_oleracea_%28assai%29_marjad_2.jpg; https://upload.wikimedia.org/wikipedia/commons/d/df/UM_TUCANO_NO_A%C3%87AIZEIRO_191.JPG; https://upload.wikimedia.org/wikipedia/commons/e/e4/Euterpe_oleracea_salu.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f0/Acai-DSC_2935.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f1/Euterpe_oleracea_%2829319842680%29.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f2/UM_TUCANO_NO_A%C3%87AIZEIRO_11.JPG; https://upload.wikimedia.org/wikipedia/commons/f/f5/Arara-Vermelha%2C_Ara_chloropterus_comendo_a%C3%A7a%C3%AD.jpg; https://upload.wikimedia.org/wikipedia/commons/f/f5/UM_TUCANO_NO_A%C3%87AIZEIRO_29.JPG; https://upload.wikimedia.org/wikipedia/commons/f/f8/Arecaceae-_Euterpe_oleracea_%28acai%29_%26_Greater_Ani.jpg,"(c) Forest and Kim Starr, some rights reserved (CC BY) (c) Renata Xavier, some rights reserved (CC BY-NC), uploaded by Renata Xavier (c) Carlos S. Rodrigues, all rights reserved, uploaded by Carlos S. Rodrigues (c) R.E.Llanos, some rights reserved (CC BY-NC-SA), uploaded by R.E.Llanos (c) Steven Bodzin, some rights reserved (CC BY), uploaded by Steven Bodzin (c) Jason J. Dombroskie, some rights reserved (CC BY-NC), uploaded by Jason J. Dombroskie (c) CIFOR, some rights reserved (CC BY-NC-ND)",false,false,true,false,false,false,20,20,canopy,14,4.3,3.7,0.65,1.5,1,2,1.5,1,2,small,pyramidal,purple-black;black,purple; black,"cryptic
"
